Epoch 0, Step 8700, Loss: 0.3735, Error: 86, lr: 0.1
Epoch 0, Step 8800, Loss: 0.3912, Error: 89, lr: 0.1
Epoch 0, Step 8900, Loss: 0.3875, Error: 83, lr: 0.1
Epoch 0, Step 9000, Loss: 0.4193, Error: 85, lr: 0.1
Epoch 0, Step 9100, Loss: 0.3926, Error: 79, lr: 0.1
Epoch 0, Step 9200, Loss: 0.3763, Error: 82, lr: 0.1
Epoch 0, Step 9300, Loss: 0.3899, Error: 81, lr: 0.1
Epoch 0, Step 9400, Loss: 0.3922, Error: 88, lr: 0.1
Epoch 0, Step 9500, Loss: 0.3899, Error: 88, lr: 0.1
Epoch 0, Step 9600, Loss: 0.3921, Error: 90, lr: 0.1
Epoch 0, Step 9700, Loss: 0.3789, Error: 94, lr: 0.1
Epoch 0, Step 9800, Loss: 0.3801, Error: 78, lr: 0.1
Epoch 0, Step 9900, Loss: 0.3639, Error: 77, lr: 0.1
Epoch 0, Step 10000, Loss: 0.3994, Error: 79, lr: 0.1
Epoch 0, Step 10100, Loss: 0.3779, Error: 85, lr: 0.1
Epoch 0, Step 10200, Loss: 0.4006, Error: 82, lr: 0.1
Epoch 0, Step 10300, Loss: 0.3895, Error: 89, lr: 0.1
Epoch 0, Step 10400, Loss: 0.3832, Error: 81, lr: 0.1
Epoch 0, Step 10500, Loss: 0.4069, Error: 83, lr: 0.1
Epoch 0, Step 10600, Loss: 0.4057, Error: 83, lr: 0.1
Epoch 0, Step 10700, Loss: 0.3862, Error: 86, lr: 0.1
Epoch 0, Step 10800, Loss: 0.3718, Error: 88, lr: 0.1
Epoch 0, Step 10900, Loss: 0.3855, Error: 88, lr: 0.1
Epoch 0, Step 11000, Loss: 0.3800, Error: 82, lr: 0.1
Epoch 0, Step 11100, Loss: 0.3941, Error: 91, lr: 0.1
Epoch 0, Step 11200, Loss: 0.3867, Error: 87, lr: 0.1
Epoch 0, Step 11300, Loss: 0.3869, Error: 89, lr: 0.1
Epoch 0, Step 11400, Loss: 0.3895, Error: 86, lr: 0.1
Epoch 0, Step 11500, Loss: 0.3870, Error: 85, lr: 0.1
Epoch 0, Step 11600, Loss: 0.3727, Error: 90, lr: 0.1
Epoch 0, Step 11700, Loss: 0.3723, Error: 76, lr: 0.1
Epoch 0, Step 11800, Loss: 0.3742, Error: 83, lr: 0.1
Epoch 0, Step 11900, Loss: 0.3962, Error: 84, lr: 0.1
Epoch 0, Step 12000, Loss: 0.3848, Error: 88, lr: 0.1
Epoch 0, Step 12100, Loss: 0.3994, Error: 84, lr: 0.1
Epoch 0, Step 12200, Loss: 0.3692, Error: 84, lr: 0.1
Epoch 0, Step 12300, Loss: 0.3911, Error: 80, lr: 0.1
Epoch 0, Step 12400, Loss: 0.3767, Error: 81, lr: 0.1
Epoch 0, Step 12500, Loss: 0.3743, Error: 88, lr: 0.1
Epoch 0, Step 12600, Loss: 0.3879, Error: 84, lr: 0.1
Epoch 0, Step 12700, Loss: 0.3899, Error: 85, lr: 0.1
Epoch 0, Step 12800, Loss: 0.3894, Error: 85, lr: 0.1
Epoch 0, Step 12900, Loss: 0.3618, Error: 86, lr: 0.1
Epoch 0, Step 13000, Loss: 0.3854, Error: 82, lr: 0.1
Epoch 0, Step 13100, Loss: 0.3896, Error: 86, lr: 0.1
Epoch 0, Step 13200, Loss: 0.3948, Error: 82, lr: 0.1
Epoch 0, Step 13300, Loss: 0.4026, Error: 88, lr: 0.1
Epoch 0, Step 13400, Loss: 0.3909, Error: 83, lr: 0.1
Epoch 0, Step 13500, Loss: 0.3872, Error: 83, lr: 0.1
Epoch 0, Step 13600, Loss: 0.3838, Error: 89, lr: 0.1
Epoch 0, Step 13700, Loss: 0.3818, Error: 88, lr: 0.1
Epoch 0, Step 13800, Loss: 0.3930, Error: 84, lr: 0.1
Epoch 0, Step 13900, Loss: 0.3765, Error: 82, lr: 0.1
Epoch 0, Step 14000, Loss: 0.3832, Error: 87, lr: 0.1
Epoch 0, Step 14100, Loss: 0.3752, Error: 83, lr: 0.1
Epoch 0, Step 14200, Loss: 0.3973, Error: 88, lr: 0.1
Epoch 0, Step 14300, Loss: 0.3819, Error: 84, lr: 0.1
Epoch 0, Step 14400, Loss: 0.3939, Error: 86, lr: 0.1
Epoch 0, Step 14500, Loss: 0.3915, Error: 88, lr: 0.1
Epoch 0, Step 14600, Loss: 0.3745, Error: 85, lr: 0.1
Epoch 0, Step 14700, Loss: 0.3755, Error: 86, lr: 0.1
Epoch 0, Step 14800, Loss: 0.3854, Error: 90, lr: 0.1
Epoch 0, Step 14900, Loss: 0.3769, Error: 86, lr: 0.1
Epoch 0, Step 15000, Loss: 0.3945, Error: 87, lr: 0.1
Epoch 0, Step 15100, Loss: 0.4121, Error: 82, lr: 0.1
Epoch 0, Step 15200, Loss: 0.3998, Error: 90, lr: 0.1
Epoch 0, Step 15300, Loss: 0.3716, Error: 88, lr: 0.1
Epoch 0, Step 15400, Loss: 0.3893, Error: 85, lr: 0.1
Epoch 0, Step 15500, Loss: 0.3838, Error: 79, lr: 0.1
Epoch 0, Step 15600, Loss: 0.3971, Error: 88, lr: 0.1
Epoch 0, Step 15700, Loss: 0.3726, Error: 86, lr: 0.1
Epoch 0, Step 15800, Loss: 0.3936, Error: 80, lr: 0.1
Epoch 0, Step 15900, Loss: 0.4004, Error: 82, lr: 0.1
Epoch 0, Step 16000, Loss: 0.4106, Error: 90, lr: 0.1
Epoch 0, Step 16100, Loss: 0.3846, Error: 83, lr: 0.1
Epoch 0, Step 16200, Loss: 0.3858, Error: 92, lr: 0.1
Epoch 0, Step 16300, Loss: 0.3852, Error: 86, lr: 0.1
Epoch 0, Step 16400, Loss: 0.4045, Error: 85, lr: 0.1
Epoch 0, Step 16500, Loss: 0.3782, Error: 85, lr: 0.1
Epoch 0, Step 16600, Loss: 0.4055, Error: 84, lr: 0.1
Epoch 0, Step 16700, Loss: 0.3954, Error: 87, lr: 0.1
Epoch 0, Step 16800, Loss: 0.4050, Error: 83, lr: 0.1
Epoch 0, Step 16900, Loss: 0.3930, Error: 89, lr: 0.1
Epoch 0, Step 17000, Loss: 0.3714, Error: 84, lr: 0.1
Epoch 0, Step 17100, Loss: 0.3872, Error: 87, lr: 0.1
Epoch 0, Step 17200, Loss: 0.4047, Error: 86, lr: 0.1
Epoch 0, Step 17300, Loss: 0.3849, Error: 83, lr: 0.1
Epoch 0, Step 17400, Loss: 0.3748, Error: 87, lr: 0.1
Epoch 0, Step 17500, Loss: 0.3829, Error: 84, lr: 0.1
Epoch 0, Step 17600, Loss: 0.3845, Error: 88, lr: 0.1
Epoch 0, Step 17700, Loss: 0.3876, Error: 85, lr: 0.1
Epoch 0, Step 17800, Loss: 0.3895, Error: 79, lr: 0.1
Epoch 0, Step 17900, Loss: 0.3795, Error: 90, lr: 0.1
Epoch 0, Step 18000, Loss: 0.3897, Error: 88, lr: 0.1
Epoch 0, Step 18100, Loss: 0.3667, Error: 81, lr: 0.1
Epoch 0, Step 18200, Loss: 0.3913, Error: 90, lr: 0.1
Epoch 0, Step 18300, Loss: 0.3850, Error: 87, lr: 0.1
Epoch 0, Step 18400, Loss: 0.3795, Error: 78, lr: 0.1
Epoch 0, Step 18500, Loss: 0.3884, Error: 87, lr: 0.1
Epoch 0, Step 18600, Loss: 0.3957, Error: 87, lr: 0.1
Epoch 0, Step 18700, Loss: 0.3853, Error: 87, lr: 0.1
Epoch 0, Step 18800, Loss: 0.3903, Error: 88, lr: 0.1
Epoch 0, Step 18900, Loss: 0.3843, Error: 85, lr: 0.1
Epoch 0, Step 19000, Loss: 0.3869, Error: 88, lr: 0.1
Epoch 0, Step 19100, Loss: 0.3839, Error: 88, lr: 0.1
Epoch 0, Step 19200, Loss: 0.3755, Error: 85, lr: 0.1
Epoch 0, Step 19300, Loss: 0.4008, Error: 92, lr: 0.1
Epoch 0, Step 19400, Loss: 0.3909, Error: 88, lr: 0.1
Epoch 0, Step 19500, Loss: 0.3666, Error: 83, lr: 0.1
Epoch 0, Step 19600, Loss: 0.3910, Error: 82, lr: 0.1
Epoch 0, Step 19700, Loss: 0.3830, Error: 81, lr: 0.1
Epoch 0, Step 19800, Loss: 0.3854, Error: 83, lr: 0.1
Epoch 0, Step 19900, Loss: 0.3835, Error: 87, lr: 0.1
Epoch 0, Step 20000, Loss: 0.3888, Error: 85, lr: 0.1
Epoch 0, Step 20100, Loss: 0.3911, Error: 90, lr: 0.1
Epoch 0, Step 20200, Loss: 0.3755, Error: 83, lr: 0.1
Epoch 0, Step 20300, Loss: 0.4038, Error: 89, lr: 0.1
Epoch 0, Step 20400, Loss: 0.3741, Error: 79, lr: 0.1
Epoch 0, Step 20500, Loss: 0.3862, Error: 91, lr: 0.1
Epoch 0, Step 20600, Loss: 0.3876, Error: 83, lr: 0.1
Epoch 0, Step 20700, Loss: 0.3849, Error: 86, lr: 0.1
Epoch 0, Step 20800, Loss: 0.3693, Error: 78, lr: 0.1
Epoch 0, Step 20900, Loss: 0.3745, Error: 81, lr: 0.1
Epoch 0, Step 21000, Loss: 0.3669, Error: 80, lr: 0.1
Epoch 0, Step 21100, Loss: 0.3957, Error: 84, lr: 0.1
Epoch 0, Step 21200, Loss: 0.3723, Error: 82, lr: 0.1
Epoch 0, Step 21300, Loss: 0.3696, Error: 86, lr: 0.1
Epoch 0, Step 21400, Loss: 0.3975, Error: 88, lr: 0.1
Epoch 0, Step 21500, Loss: 0.3811, Error: 82, lr: 0.1
Epoch 0, Step 21600, Loss: 0.3703, Error: 85, lr: 0.1
Epoch 0, Step 21700, Loss: 0.3655, Error: 87, lr: 0.1
Epoch 0, Step 21800, Loss: 0.3884, Error: 91, lr: 0.1
Epoch 0, Step 21900, Loss: 0.3999, Error: 82, lr: 0.1
Epoch 0, Step 22000, Loss: 0.3898, Error: 85, lr: 0.1
Epoch 0, Step 22100, Loss: 0.3714, Error: 76, lr: 0.1
Epoch 0, Step 22200, Loss: 0.3896, Error: 91, lr: 0.1
Epoch 0, Step 22300, Loss: 0.4044, Error: 86, lr: 0.1
